Numero_unique_specimen,BioSample Acession,Type_analyse,Annee_envoi,No_soumission_GQ,No_plaque_envoi,Nom_projet,Numero_unique_groupe,Numero_reception_specimen,Nom_commun,Genre,Espece,Couleur_individu,Age,Sexe_visuel,Region_echantillonnage,Lieu_echantillonnage,Latitude_echantillonnage_DD,Longitude_echantillonnage_DD,Annee_echantillonnage,Mois_echantillonnage,Jour_echantillonnage,Communaute,Nom_chasseur,Sexe_laboratoire,Technique_sexage,Responsable_sexage,Numero_unique_extrait,Haplotype,Librairie_ref
S_20_03447,SAMN36656852,ddRADseq,2019,SCI029054,PE_20_00002,MOBELS,G_20_03447,DL2009JB_04,BELUGA,Delphinapterus,leucas,NA,NA,F,JAM,Pointe_de_Repentigny_James_Bay,52.64,-78.856,2009,8,1,DFO_MPO,NA,F,qPCR,S_Guillou,ADN_20_01167,HL008,librairie_143_haplotypes615
S_20_03449,SAMN36656854,ddRADseq,2019,SCI029054,PE_20_00002,MOBELS,G_20_03449,DL2009JB_06,BELUGA,Delphinapterus,leucas,NA,NA,F,JAM,Pointe_de_Repentigny_James_Bay,52.64,-78.856,2009,8,9,DFO_MPO,NA,M,qPCR,S_Guillou,ADN_20_01169,HL008,librairie_143_haplotypes615
S_20_03516,SAMN36656880,ddRADseq,2019,SCI029054,PE_20_00002,MOBELS,G_20_03516,ARCHL_15_128155,BELUGA,Delphinapterus,leucas,NA,NA,M,NWH,Churchill,NA,NA,2015,7,14,Churchill,NA,U,qPCR,S_Guillou,ADN_20_01170,HL026,librairie_143_haplotypes615
S_20_03521,SAMN36656884,ddRADseq,2019,SCI029054,PE_20_00002,MOBELS,G_20_03521,ARCHL_15_128156,BELUGA,Delphinapterus,leucas,NA,NA,F,NWH,Churchill,NA,NA,2015,7,14,Churchill,NA,M,qPCR,S_Guillou,ADN_20_01171,HL003,librairie_143_haplotypes615
S_20_03520,SAMN36656883,ddRADseq,2019,SCI029054,PE_20_00002,MOBELS,G_20_03520,ARCHL_15_128162,BELUGA,Delphinapterus,leucas,NA,NA,M,NWH,Churchill,NA,NA,2015,7,10,Churchill,NA,F,qPCR,S_Guillou,ADN_20_01176,HL026,librairie_143_haplotypes615
S_20_03512,SAMN36656877,ddRADseq,2019,SCI029054,PE_20_00002,MOBELS,G_20_03512,ARCHL_15_128164,BELUGA,Delphinapterus,leucas,NA,NA,M,NWH,Churchill,NA,NA,2015,7,14,Churchill,NA,M,qPCR,S_Guillou,ADN_20_01177,HL001,librairie_143_haplotypes615
S_20_01022,SAMN36656398,ddRADseq,2019,SCI029054,PE_20_00003,MOBELS,G_20_01022,ARHU97_062,BELUGA,Delphinapterus,leucas,NA,5,F,NWH,Whale_Cove,NA,NA,1997,8,10,Whale Cove,L_OKALIK,F,qPCR,S_Guillou,ADN_20_04694,HL004,librairie_143_haplotypes615
S_20_00646,SAMN36656157,ddRADseq,2019,SCI029054,PE_20_00003,MOBELS,G_20_00646,NQDL_3100,BELUGA,Delphinapterus,leucas,NA,35,NA,UNG,Anse_Inussujuaq_Misaqvik,59.99425,-70.41867,2001,7,20,Kangirsuk,NA,M,qPCR,S_Guillou,ADN_20_01720,HL014,librairie_143_haplotypes615
S_20_00850,SAMN37456248,ddRADseq,2019,SCI029054,PE_20_00003,MOBELS,G_20_00850,NQDL_3102,BELUGA,Delphinapterus,leucas,NA,2,NA,UNG,Kangirsuk,60.0027,-70.00159,2001,6,12,Kangirsuk,NA,M,qPCR,C_Bonnet,ADN_20_01361,HL001,librairie_143_haplotypes615
S_20_01013,SAMN36656390,ddRADseq,2019,SCI029054,PE_20_00003,MOBELS,G_20_01013,NQ03_5140,BELUGA,Delphinapterus,leucas,NA,21,NA,UNG,Tasiujaq,58.69638889,-69.93,2003,6,30,Tasiujaq,NA,F,qPCR,C_Bonnet,ADN_20_02718,HL003,librairie_143_haplotypes615
S_20_01004,SAMN36656386,ddRADseq,2019,SCI029054,PE_20_00003,MOBELS,G_20_01004,NQ03_5000,BELUGA,Delphinapterus,leucas,NA,NA,NA,SHS,Baie_Kangituuq,62.37916667,-77.94027778,2003,6,8,Ivujivik,NA,M,qPCR,C_Bonnet,ADN_20_03414,HL001,librairie_143_haplotypes615
S_20_01005,NA,ddRADseq,2019,SCI029054,PE_20_00003,MOBELS,G_20_01005,NQ03_5001,BELUGA,Delphinapterus,leucas,NA,6,NA,SHS,Baie_Kangituuq,62.37916667,-77.94027778,2003,6,8,Ivujivik,NA,M,qPCR,C_Bonnet,ADN_20_03415,HL063,librairie_143_haplotypes615
S_20_01011,NA,ddRADseq,2019,SCI029054,PE_20_00003,MOBELS,G_20_01011,NQ03_5030,BELUGA,Delphinapterus,leucas,NA,10,NA,SHS,Nuvuk,61.164,-69.639,2003,6,18,Quaqtaq,NA,F,qPCR,C_Bonnet,ADN_20_03428,HL001,librairie_143_haplotypes615
S_20_00995,SAMN36656379,ddRADseq,2019,SCI029054,PE_20_00003,MOBELS,G_20_00995,NQ03_5036,BELUGA,Delphinapterus,leucas,NA,NA,NA,SHS,Pointe_Naujaat,61.04583333,-69.47305556,2003,6,17,Quaqtaq,NA,F,qPCR,S_Guillou,ADN_20_03432,HL003,librairie_143_haplotypes615
S_20_00996,SAMN36656380,ddRADseq,2019,SCI029054,PE_20_00003,MOBELS,G_20_00996,NQ03_5037,BELUGA,Delphinapterus,leucas,NA,9,NA,SHS,Pointe_Naujaat,61.04583333,-69.47305556,2003,6,16,Quaqtaq,NA,F,qPCR,S_Guillou,ADN_20_01454,HL014,librairie_143_haplotypes615
S_20_00998,NA,ddRADseq,2019,SCI029054,PE_20_00003,MOBELS,G_20_00998,NQ03_5041,BELUGA,Delphinapterus,leucas,NA,13,NA,SHS,Nuvuk,61.164,-69.639,2003,6,16,Quaqtaq,NA,F,qPCR,S_Guillou,ADN_20_03436,HL003,librairie_143_haplotypes615
S_20_00983,SAMN36656371,ddRADseq,2019,SCI029054,PE_20_00003,MOBELS,G_20_00983,NQ03_5048,BELUGA,Delphinapterus,leucas,NA,26,NA,SHS,Kangiqsujuaq,61.65166667,-71.9675,2003,6,29,Kangiqsujuaq,NA,M,qPCR,S_Guillou,ADN_20_03441,HL003,librairie_143_haplotypes615
S_20_00985,SAMN37456283,ddRADseq,2019,SCI029054,PE_20_00003,MOBELS,G_20_00985,NQ04_5114,BELUGA,Delphinapterus,leucas,NA,NA,NA,UNG,Baie_Qirnituup,60.0694,-69.6744,2004,7,31,Kangirsuk,NA,F,qPCR,S_Guillou,ADN_20_01463,HL003,librairie_143_haplotypes615
S_20_00988,SAMN36656373,ddRADseq,2019,SCI029054,PE_20_00003,MOBELS,G_20_00988,NQ04_5197,BELUGA,Delphinapterus,leucas,NA,17,NA,SHS,Ivujivik,62.418,-77.911,2004,7,7,Akulivik,NA,F,qPCR,S_Guillou,ADN_20_01466,HL003,librairie_143_haplotypes615
S_20_00978,SAMN36656369,ddRADseq,2019,SCI029054,PE_20_00003,MOBELS,G_20_00978,NQ04_6013,BELUGA,Delphinapterus,leucas,NA,NA,NA,SHS,Quaqtaq,60.97,-69.71,2004,10,13,Quaqtaq,NA,F,qPCR,S_Guillou,ADN_20_04401,HL049,librairie_143_haplotypes615
S_20_00964,SAMN36656359,ddRADseq,2019,SCI029054,PE_20_00003,MOBELS,G_20_00964,NQ04_6021,BELUGA,Delphinapterus,leucas,NA,NA,NA,SHS,Kangiqsujuaq,61.872222,-72.065556,2004,6,25,Kangiqsujuaq,NA,M,qPCR,S_Guillou,ADN_20_04412,HL003,librairie_143_haplotypes615
S_20_01945,NA,ddRADseq,2019,SCI029054,PE_20_00003,MOBELS,G_20_01945,DL99_034,BELUGA,Delphinapterus,leucas,NA,36,M,SHS,Quaqtaq,60.97818,-69.70069,2001,10,23,Quaqtaq,NA,M,qPCR,S_Guillou,ADN_20_01555,NA,librairie_143_haplotypes615
S_20_00916,SAMN36656334,ddRADseq,2019,SCI029054,PE_20_00003,MOBELS,G_20_00916,NQ03_5112,BELUGA,Delphinapterus,leucas,NA,33,NA,UNG,Kangirsuk,60.10333333,-69.81333333,2003,6,19,Kangirsuk,NA,M,PCR,C_Bonnet,ADN_20_02709,HL001,librairie_143_haplotypes615
S_20_01019,SAMN36656395,ddRADseq,2019,SCI029054,PE_20_00003,MOBELS,G_20_01019,NQ03_5206,BELUGA,Delphinapterus,leucas,NA,NA,NA,NEH,Puvirnituq,60.02888889,-77.44305556,2003,9,18,Puvirnituq,NA,M,qPCR,S_Guillou,ADN_20_01427,HL001,librairie_143_haplotypes615
S_20_03083,SAMN36656796,ddRADseq,2019,SCI029054,PE_20_00003,MOBELS,G_20_03083,DL97_103,BELUGA,Delphinapterus,leucas,NA,14,F,SEH,Inukjuak,NA,NA,1997,8,4,Inukjuak,NA,F,qPCR,S_Guillou,ADN_20_01633,HL010,librairie_143_haplotypes615
S_20_03090,SAMN36656802,ddRADseq,2019,SCI029054,PE_20_00003,MOBELS,G_20_03090,DL97_123,BELUGA,Delphinapterus,leucas,NA,18,F,SEH,Inukjuak,NA,NA,1997,8,4,Inukjuak,NA,F,qPCR,C_Bonnet,ADN_20_01635,HL009,librairie_143_haplotypes615
S_20_03212,SAMN36656827,ddRADseq,2019,SCI029054,PE_20_00003,MOBELS,G_20_03212,DL98_395,BELUGA,Delphinapterus,leucas,NA,NA,F,NEH,Puvirnituq,59.51388889,-77.89166667,1998,10,16,Puvirnituq,NA,M,qPCR,C_Bonnet,ADN_20_03467,HL001,librairie_143_haplotypes615
S_20_03086,SAMN36656799,ddRADseq,2019,SCI029054,PE_20_00003,MOBELS,G_20_03086,DL97_114,BELUGA,Delphinapterus,leucas,NA,5,F,SEH,Nastapoka_Sound,57.06,-76.665,1997,8,4,Inukjuak,NA,M,qPCR,S_Guillou,ADN_20_01645,HL009,librairie_143_haplotypes615
S_20_03087,SAMN36656800,ddRADseq,2019,SCI029054,PE_20_00003,MOBELS,G_20_03087,DL97_115,BELUGA,Delphinapterus,leucas,NA,21,F,SEH,Inukjuak,NA,NA,1997,8,5,Inukjuak,NA,F,qPCR,C_Bonnet,ADN_20_01646,HL123,librairie_143_haplotypes615
S_20_03085,SAMN36656798,ddRADseq,2019,SCI029054,PE_20_00003,MOBELS,G_20_03085,DL97_112,BELUGA,Delphinapterus,leucas,NA,4,NA,SEH,Inukjuak,NA,NA,1997,NA,NA,Inukjuak,NA,M,qPCR,S_Guillou,ADN_20_03206,NA,librairie_143_haplotypes615
S_20_03099,SAMN37456134,ddRADseq,2019,SCI029054,PE_20_00003,MOBELS,G_20_03099,DL97_267,BELUGA,Delphinapterus,leucas,NA,15,F,SEH,Lac_Tasiujaq,56.19,-76.01,1997,6,21,Umiujaq,NA,F,qPCR,S_Guillou,ADN_20_03218,HL001,librairie_143_haplotypes615
S_20_01147,SAMN36656466,ddRADseq,2019,SCI029054,PE_20_00003,MOBELS,G_20_01147,DL97_124,BELUGA,Delphinapterus,leucas,NA,29,M,SEH,Inukjuak,NA,NA,1997,7,24,Inukjuak,NA,M,qPCR,S_Guillou,ADN_20_01649,HL001,librairie_143_haplotypes615
S_20_02910,SAMN36656767,ddRADseq,2019,SCI029054,PE_20_00003,MOBELS,G_20_02910,DL18_078,BELUGA,Delphinapterus,leucas,NA,NA,F,UNG,Island_Qulluvik,60.159,-69.451,2018,7,2,Aupaluk,NA,F,qPCR,S_Guillou,ADN_20_01657,HL008,librairie_143_haplotypes615
S_20_03000,SAMN37456208,ddRADseq,2019,SCI029054,PE_20_00003,MOBELS,G_20_03000,DL98_552,BELUGA,Delphinapterus,leucas,NA,36,F,SEH,Nastapoka_River,56.91,-76.54416667,1998,8,9,Inukjuak,NA,F,qPCR,C_Bonnet,ADN_20_01660,HL103,librairie_143_haplotypes615
S_20_03344,SAMN36656838,ddRADseq,2019,SCI029054,PE_20_00003,MOBELS,G_20_03344,DL_6075,BELUGA,Delphinapterus,leucas,NA,14,F,NEH,Puvirnituq,59.427,-77.759,2007,10,16,Puvirnituq,NA,F,qPCR,S_Guillou,ADN_20_03652,HL002,librairie_143_haplotypes615
S_20_01793,SAMN37456135,ddRADseq,2019,SCI029054,PE_20_00003,MOBELS,G_20_01793,IN94_03,BELUGA,Delphinapterus,leucas,NA,12,F,SEH,Nastapoka_River,56.91,-76.54416667,1994,8,16,Inukjuak,NA,M,qPCR,C_Bonnet,ADN_20_01670,HL103,librairie_143_haplotypes615
S_20_01893,NA,ddRADseq,2019,SCI029054,PE_20_00003,MOBELS,G_20_01893,GW94_07,BELUGA,Delphinapterus,leucas,NA,25,NA,SEH,Kuujjuarapik,55.28055,-77.7533,1994,7,25,Kuujjuaraapik,NA,F,qPCR,S_Guillou,ADN_20_02811,HL020,librairie_143_haplotypes615
S_20_01894,SAMN37456185,ddRADseq,2019,SCI029054,PE_20_00003,MOBELS,G_20_01894,GW94_12,BELUGA,Delphinapterus,leucas,NA,3,M,SEH,Kuujjuarapik,55.28055,-77.7533,1994,7,25,Kuujjuaraapik,NA,F,qPCR,S_Guillou,ADN_20_02813,HL049,librairie_143_haplotypes615
S_20_03210,SAMN36656826,ddRADseq,2019,SCI029054,PE_20_00003,MOBELS,G_20_03210,DL98_392,BELUGA,Delphinapterus,leucas,NA,NA,F,NEH,Puvirnituq,59.51388889,-77.89166667,1998,10,16,Puvirnituq,NA,M,qPCR,C_Bonnet,ADN_20_03465,HL001,librairie_143_haplotypes615
S_20_03419,SAMN36656843,ddRADseq,2019,SCI029054,PE_20_00003,MOBELS,G_20_03419,DL15_DART_055,BELUGA,Delphinapterus,leucas,NA,NA,NA,SEH,NA,NA,NA,2016,8,14,Inukjuak,NA,M,qPCR,S_Guillou,ADN_20_01709,HL009,librairie_143_haplotypes615
S_20_01013,SAMN36656390,ddRADseq,2019,SCI029054,PE_20_00003,MOBELS,G_20_01013,NQ03_5140,BELUGA,Delphinapterus,leucas,NA,21,NA,UNG,Tasiujaq,58.69638889,-69.93,2003,6,30,Tasiujaq,NA,F,qPCR,C_Bonnet,ADN_20_02718,HL003,librairie_143_haplotypes615
S_20_03029,NA,ddRADseq,2019,SCI029054,PE_20_00003,MOBELS,G_20_03029,DL_3136,BELUGA,Delphinapterus,leucas,NA,17,M,SEH,Kuujjuarapik,55.292,-77.832,2001,7,7,Kuujjuaraapik,NA,M,qPCR,S_Guillou,ADN_20_01743,HL049,librairie_143_haplotypes615
S_20_00856,SAMN36656300,ddRADseq,2019,SCI029054,PE_20_00003,MOBELS,G_20_00856,NQDL_3288,BELUGA,Delphinapterus,leucas,NA,NA,NA,UNG,Tasiujaq,58.71862,-69.90128,2001,7,16,Kuujjuaq,NA,M,qPCR,S_Guillou,ADN_20_02039,HL003,librairie_143_haplotypes615
S_20_03056,SAMN36656795,ddRADseq,2019,SCI029054,PE_20_00003,MOBELS,G_20_03056,DL09_179,BELUGA,Delphinapterus,leucas,NA,NA,M,SEH,Umiujaq,56.44,-76.56,2010,6,1,Umiujaq,NA,M,qPCR,S_Guillou,ADN_20_02963,HL001,librairie_143_haplotypes615
S_20_01097,SAMN36656446,ddRADseq,2019,SCI029054,PE_20_00003,MOBELS,G_20_01097,NQDL_3312,BELUGA,Delphinapterus,leucas,NA,19,NA,NEH,Cape_Smith,60.70583,-78.47769,2001,10,15,Puvirnituq,NA,F,qPCR,C_Bonnet,ADN_20_01323,HL001,librairie_143_haplotypes615
S_20_01126,SAMN36656457,ddRADseq,2019,SCI029054,PE_20_00003,MOBELS,G_20_01126,DL_3143,BELUGA,Delphinapterus,leucas,NA,NA,F,SEH,Little_Whale_River_Qilalugarsiuviup_Kuunga,56.00415,-76.75612,2001,8,7,Kuujjuaraapik,NA,F,qPCR,S_Guillou,ADN_20_01773,HL002,librairie_143_haplotypes615
S_20_00651,SAMN37456257,ddRADseq,2019,SCI029054,PE_20_00003,MOBELS,G_20_00651,NQDL_3093,BELUGA,Delphinapterus,leucas,NA,20,NA,UNG,Anse_Inussujuaq,59.99757,-70.43106,2001,7,19,Kangirsuk,NA,M,qPCR,S_Guillou,ADN_20_01775,HL003,librairie_143_haplotypes615
S_20_02963,SAMN36656779,ddRADseq,2019,SCI029054,PE_20_00003,MOBELS,G_20_02963,DL99_156,BELUGA,Delphinapterus,leucas,NA,6,F,SEH,Nastapoka_Sound,57,-76.64166667,1999,8,3,Inukjuak,NA,M,qPCR,S_Guillou,ADN_20_01776,HL018,librairie_143_haplotypes615
S_20_03038,NA,ddRADseq,2019,SCI029054,PE_20_00003,MOBELS,G_20_03038,DLN01_09,BELUGA,Delphinapterus,leucas,NA,16,M,SEH,Nastapoka_Sound,57.35179,-76.6827,2001,8,3,Inukjuak,NA,M,qPCR,S_Guillou,ADN_20_01779,HL019,librairie_143_haplotypes615
S_20_01099,SAMN36656448,ddRADseq,2019,SCI029054,PE_20_00003,MOBELS,G_20_01099,NQDL_3314,BELUGA,Delphinapterus,leucas,NA,18,NA,NEH,Akulivik,60.72231,-78.49527,2001,10,15,Puvirnituq,NA,M,qPCR,C_Bonnet,ADN_20_03326,HL067,librairie_143_haplotypes615
S_20_02608,SAMN36656737,ddRADseq,2019,SCI029054,PE_20_00003,MOBELS,G_20_02608,DL17_040,BELUGA,Delphinapterus,leucas,NA,NA,M,UNG,Kuujjuaq,58.15,-68.303,2017,7,2,Kuujjuaq,NA,M,qPCR,C_Bonnet,ADN_20_01786,HL011,librairie_143_haplotypes615
S_20_02582,SAMN36656735,ddRADseq,2019,SCI029054,PE_20_00003,MOBELS,G_20_02582,DL15_077,BELUGA,Delphinapterus,leucas,NA,NA,M,UNG,Aupaluk,59.345,-69.695,2017,7,23,Aupaluk,NA,M,qPCR,S_Guillou,ADN_20_01787,HL003,librairie_143_haplotypes615
S_20_02382,SAMN37456269,ddRADseq,2019,SCI029054,PE_20_00003,MOBELS,G_20_02382,DL18_049,BELUGA,Delphinapterus,leucas,NA,NA,F,UNG,Cap_Qalirusiq,58.952,-69.694,2018,7,13,Tasiujaq,NA,M,qPCR,C_Bonnet,ADN_20_01802,HL035,librairie_143_haplotypes615
S_20_02388,SAMN36656725,ddRADseq,2019,SCI029054,PE_20_00003,MOBELS,G_20_02388,DL18_057,BELUGA,Delphinapterus,leucas,NA,NA,F,UNG,Tasiujaq,NA,NA,2018,7,11,Tasiujaq,NA,F,qPCR,C_Bonnet,ADN_20_01807,HL001,librairie_143_haplotypes615
S_20_02392,SAMN36656729,ddRADseq,2019,SCI029054,PE_20_00003,MOBELS,G_20_02392,DL18_071,BELUGA,Delphinapterus,leucas,NA,NA,F,UNG,Island_Qulluvik,60.159,-69.451,2018,7,6,Aupaluk,NA,M,qPCR,S_Guillou,ADN_20_01821,HL001,librairie_143_haplotypes615
S_20_02767,SAMN36656755,ddRADseq,2019,SCI029054,PE_20_00003,MOBELS,G_20_02767,DL09_14,BELUGA,Delphinapterus,leucas,NA,NA,M,SEH,Little_Whale_River_Qilalugarsiuviup_Kuunga,56,-76.833,2009,7,22,Kuujjuaraapik,NA,M,qPCR,S_Guillou,ADN_20_01824,HL001,librairie_143_haplotypes615
S_20_02726,SAMN36656751,ddRADseq,2019,SCI029054,PE_20_00003,MOBELS,G_20_02726,DL_9211,BELUGA,Delphinapterus,leucas,NA,NA,M,UNG,Baie_Ungavatuaq,58.629,-69.798,2007,7,17,Tasiujaq,NA,M,qPCR,C_Bonnet,ADN_20_01834,HL025,librairie_143_haplotypes615
S_20_02728,SAMN36656753,ddRADseq,2019,SCI029054,PE_20_00003,MOBELS,G_20_02728,DL_9162,BELUGA,Delphinapterus,leucas,NA,9,M,UNG,Pointe_Tikiraq,60.103,-69.813,2007,6,22,Kangirsuk,NA,M,qPCR,S_Guillou,ADN_20_03366,HL020,librairie_143_haplotypes615
S_20_02108,SAMN37456263,ddRADseq,2019,SCI029054,PE_20_00003,MOBELS,G_20_02108,DL18_283,BELUGA,Delphinapterus,leucas,NA,NA,F,UNG,Tasiujaq,NA,NA,2018,7,13,Kuujjuaq,NA,F,qPCR,S_Guillou,ADN_20_01844,HL001,librairie_143_haplotypes615
S_20_02385,SAMN36656722,ddRADseq,2019,SCI029054,PE_20_00003,MOBELS,G_20_02385,DL18_052,BELUGA,Delphinapterus,leucas,NA,NA,F,UNG,Cap_Qalirusiq,58.952,-69.694,2018,7,14,Tasiujaq,NA,F,qPCR,S_Guillou,ADN_20_01851,HL001,librairie_143_haplotypes615
S_20_02356,SAMN37456265,ddRADseq,2019,SCI029054,PE_20_00003,MOBELS,G_20_02356,DL16_070,BELUGA,Delphinapterus,leucas,NA,NA,F,UNG,Aupaluk,NA,NA,2018,7,17,Aupaluk,NA,F,qPCR,S_Guillou,ADN_20_01853,HL003,librairie_143_haplotypes615
S_20_00861,SAMN36656303,ddRADseq,2019,SCI029054,PE_20_00003,MOBELS,G_20_00861,NQDL_00104,BELUGA,Delphinapterus,leucas,NA,NA,NA,NEH,Akulivik,60.81343,-78.48848,2001,10,9,Akulivik,NA,M,qPCR,S_Guillou,ADN_20_02934,HL001,librairie_143_haplotypes615
S_20_02103,SAMN36656677,ddRADseq,2019,SCI029054,PE_20_00003,MOBELS,G_20_02103,DL18_214,BELUGA,Delphinapterus,leucas,NA,NA,F,NEH,Pointe_Qikirtaujaq,NA,NA,2018,10,16,Puvirnituq,NA,F,qPCR,S_Guillou,ADN_20_03266,HL020,librairie_143_haplotypes615
S_20_02257,SAMN36656699,ddRADseq,2019,SCI029054,PE_20_00003,MOBELS,G_20_02257,DL15_050,BELUGA,Delphinapterus,leucas,NA,NA,F,UNG,Cap_Qalirusiq,58.953,-69.695,2015,7,11,Tasiujaq,NA,F,qPCR,C_Bonnet,ADN_20_01864,HL001,librairie_143_haplotypes615
S_20_03656,SAMN36656941,ddRADseq,2019,SCI029054,PE_20_00003,MOBELS,G_20_03656,DL17_261,BELUGA,Delphinapterus,leucas,NA,NA,NA,SEH,Kuujjuarapik,55.114,-78.208,2017,6,15,Kuujjuaraapik,NA,M,qPCR,S_Guillou,ADN_20_03032,HL008,librairie_143_haplotypes615
S_20_00862,SAMN36656304,ddRADseq,2019,SCI029054,PE_20_00003,MOBELS,G_20_00862,NQDL_00155,BELUGA,Delphinapterus,leucas,NA,20,NA,SEH,Kuujjuarapik,55.28307,-77.79168,2001,6,13,Kuujjuaraapik,NA,F,qPCR,S_Guillou,ADN_20_03858,HL049,librairie_143_haplotypes615
S_20_01944,SAMN36656658,ddRADseq,2019,SCI029054,PE_20_00003,MOBELS,G_20_01944,DL99_031,BELUGA,Delphinapterus,leucas,NA,26,F,SHS,Quaqtaq,60.96133,-69.71401,2001,10,19,Quaqtaq,NA,F,qPCR,S_Guillou,ADN_20_02899,HL020,librairie_143_haplotypes615
S_20_02352,SAMN36656710,ddRADseq,2019,SCI029054,PE_20_00003,MOBELS,G_20_02352,DL15_072,BELUGA,Delphinapterus,leucas,NA,NA,F,UNG,Aupaluk,NA,NA,2018,7,17,Aupaluk,NA,F,qPCR,S_Guillou,ADN_20_01877,HL003,librairie_143_haplotypes615
S_20_02354,SAMN36656712,ddRADseq,2019,SCI029054,PE_20_00003,MOBELS,G_20_02354,DL15_291,BELUGA,Delphinapterus,leucas,NA,NA,F,UNG,Kangirsuk,NA,NA,2018,6,28,Kangirsuk,NA,M,qPCR,S_Guillou,ADN_20_03298,HL001,librairie_143_haplotypes615
S_20_01940,SAMN37456262,ddRADseq,2019,SCI029054,PE_20_00003,MOBELS,G_20_01940,DL99_087,BELUGA,Delphinapterus,leucas,NA,NA,M,UNG,Aupaluk,59.45833333,-69.80555556,1999,7,21,Aupaluk,NA,M,qPCR,S_Guillou,ADN_20_01884,HL003,librairie_143_haplotypes615
S_20_01904,SAMN36656650,ddRADseq,2019,SCI029054,PE_20_00003,MOBELS,G_20_01904,DL99_083,BELUGA,Delphinapterus,leucas,NA,NA,F,UNG,Aupaluk,59.45833333,-69.80555556,1999,7,2,Aupaluk,NA,F,qPCR,C_Bonnet,ADN_20_01886,HL008,librairie_143_haplotypes615
S_20_01938,SAMN36656655,ddRADseq,2019,SCI029054,PE_20_00003,MOBELS,G_20_01938,DL99_118,BELUGA,Delphinapterus,leucas,NA,NA,M,UNG,Tasiujaq,58.81388889,-70.05,1999,7,15,Tasiujaq,NA,M,qPCR,C_Bonnet,ADN_20_01888,HL003,librairie_143_haplotypes615
S_20_02178,SAMN36656687,ddRADseq,2019,SCI029054,PE_20_00003,MOBELS,G_20_02178,DL_4038,BELUGA,Delphinapterus,leucas,White,NA,M,SEH,Little_Whale_River_Qilalugarsiuviup_Kuunga,56,-76.666,2002,7,24,DFO_MPO,NA,M,qPCR,S_Guillou,ADN_20_01917,HL071,librairie_143_haplotypes615
S_20_03665,SAMN36656945,ddRADseq,2019,SCI029054,PE_20_00003,MOBELS,G_20_03665,DL2011_005_F,BELUGA,Delphinapterus,leucas,White,14,F,SLE,Les_Boules,48.69027778,-67.97111111,2011,8,9,Saint_Laurent,NA,F,qPCR,C_Bonnet,ADN_20_04297,HL099,librairie_143_haplotypes615
S_20_00836,SAMN36656293,ddRADseq,2019,SCI029054,PE_20_00003,MOBELS,G_20_00836,NA99_DL_00_184,BELUGA,Delphinapterus,leucas,NA,NA,NA,SEH,Nastapoka_River,56.91,-76.54416667,1999,NA,NA,NA,NA,F,qPCR,S_Guillou,ADN_20_01189,HL009,librairie_143_haplotypes615
S_20_00925,SAMN36656340,ddRADseq,2019,SCI029054,PE_20_00003,MOBELS,G_20_00925,ARRB_02_1179,BELUGA,Delphinapterus,leucas,NA,17,F,NHB,Repulse_Bay_Hurd Channel,NA,NA,2002,9,13,Naujaat,NA,F,qPCR,S_Guillou,ADN_20_01972,HL001,librairie_143_haplotypes615
S_20_01025,SAMN36656400,ddRADseq,2019,SCI029054,PE_20_00003,MOBELS,G_20_01025,NQ03_00238,BELUGA,Delphinapterus,leucas,NA,NA,NA,SHS,Quaqtaq,61.04638889,-69.63388889,2003,NA,NA,Tasiujaq,NA,M,qPCR,C_Bonnet,ADN_20_03398,HL003,librairie_143_haplotypes615
S_20_01092,SAMN36656441,ddRADseq,2019,SCI029054,PE_20_00003,MOBELS,G_20_01092,NQDL_3063,BELUGA,Delphinapterus,leucas,NA,16,NA,SHS,Digges_Islands,62.59914,-77.82851,2001,10,23,Puvirnituq,NA,M,qPCR,C_Bonnet,ADN_20_03321,HL066,librairie_143_haplotypes615
S_20_01883,SAMN36656645,ddRADseq,2019,SCI029054,PE_20_00003,MOBELS,G_20_01883,WA94_10,BELUGA,Delphinapterus,leucas,NA,29,M,SHS,Kangirsuapik,61.867,-72.183,1994,10,17,Kangiqsujuaq,NA,M,qPCR,S_Guillou,ADN_20_02823,HL003,librairie_143_haplotypes615
S_20_01018,SAMN36656394,ddRADseq,2019,SCI029054,PE_20_00003,MOBELS,G_20_01018,NQ03_5205,BELUGA,Delphinapterus,leucas,NA,23,NA,UNG,Kuujjuaq,58.10722222,-68.41166667,2003,6,29,Kuujjuaq,NA,M,qPCR,C_Bonnet,ADN_20_01729,HL003,librairie_143_haplotypes615
S_20_01084,SAMN36656435,ddRADseq,2019,SCI029054,PE_20_00003,MOBELS,G_20_01084,NQDL_3055,BELUGA,Delphinapterus,leucas,NA,26,NA,SHS,Digges_Islands,62.59309,-77.82733,2001,10,17,Puvirnituq,NA,M,qPCR,C_Bonnet,ADN_20_02000,HL011,librairie_143_haplotypes615
S_20_00920,SAMN36656337,ddRADseq,2019,SCI029054,PE_20_00003,MOBELS,G_20_00920,NQ03_5118,BELUGA,Delphinapterus,leucas,NA,NA,NA,SHS,Camp_Imilimmiut,60.771,-69.418,2003,6,16,Kangirsuk,NA,F,qPCR,S_Guillou,ADN_20_02713,HL001,librairie_143_haplotypes615
