Fasta Header,SampleID,PC1,PC2,PC3,PC4,PC5,PC6,PC7,PC8,PC9,PC10,Region2,Harvest Region,SampleID,Mitochondrial clade
139.SAN.2005.BELUGA.ADN_20_05348.S_20_00715.mito (bases 1 to 16386),S_20_00715,9.553926017,-0.484285224,-0.128801978,-0.226301258,-0.340695227,-0.013842882,0.136569372,0.227132164,-0.027268337,0.031115964,139.SAN.2005.BELUGA.ADN_20_05348.S_20_00715.mito (bases 1 to 16386),Canada: Belcher Islands,S_20_00715,Clade A
112.SAN.2011.BELUGA.ADN_20_04864.S_20_01410.mito (bases 1 to 16386),S_20_01410,9.553926017,-0.484285224,-0.128801978,-0.226301258,-0.340695227,-0.013842882,0.136569372,0.227132164,-0.027268337,0.031115964,112.SAN.2011.BELUGA.ADN_20_04864.S_20_01410.mito (bases 1 to 16386),Canada: Belcher Islands,S_20_01410,Clade A
111.SAN.2013.BELUGA.ADN_20_04893.S_20_01475.mito (bases 1 to 16386),S_20_01475,9.524752852,-0.483657151,-0.026019878,-0.386287891,-0.563871288,0.049829915,0.187336928,0.356822094,0.006144953,0.034466809,111.SAN.2013.BELUGA.ADN_20_04893.S_20_01475.mito (bases 1 to 16386),Canada: Belcher Islands,S_20_01475,Clade A
162.SAN.2013.BELUGA.ADN_20_05181.S_20_03750.mito (bases 1 to 16386),S_20_03750,9.477859816,-0.474233829,0.201137433,-0.447411959,-0.820536272,0.148387437,-0.084374087,-0.00642088,0.017670912,-0.112208574,162.SAN.2013.BELUGA.ADN_20_05181.S_20_03750.mito (bases 1 to 16386),Canada: Belcher Islands,S_20_03750,Clade A
164.SAN.2013.BELUGA.ADN_20_05177.S_20_03746.mito (bases 1 to 16386),S_20_03746,9.477859816,-0.474233829,0.201137433,-0.447411959,-0.820536272,0.148387437,-0.084374087,-0.00642088,0.017670912,-0.112208574,164.SAN.2013.BELUGA.ADN_20_05177.S_20_03746.mito (bases 1 to 16386),Canada: Belcher Islands,S_20_03746,Clade A
149.SAN.2005.BELUGA.ADN_20_05280.S_20_03876.mito (bases 1 to 16386),S_20_03876,9.309336116,-0.436299101,0.176549995,-0.417329012,-0.841205614,0.143565053,-0.104571957,-0.012120134,0.017441175,-0.153246866,149.SAN.2005.BELUGA.ADN_20_05280.S_20_03876.mito (bases 1 to 16386),Canada: Belcher Islands,S_20_03876,Clade A
145.SAN.2002.BELUGA.ADN_20_02289.S_20_00730.mito (bases 1 to 16386),S_20_00730,9.309336116,-0.436299101,0.176549995,-0.417329012,-0.841205614,0.143565053,-0.104571957,-0.012120134,0.017441175,-0.153246866,145.SAN.2002.BELUGA.ADN_20_02289.S_20_00730.mito (bases 1 to 16386),Canada: Belcher Islands,S_20_00730,Clade A
167.SAN.2016.BELUGA.ADN_20_05407.S_20_04005.mito (bases 1 to 16386),S_20_04005,9.244361183,-0.43221194,0.167361359,-0.536456287,-0.949657137,0.216261635,-0.137540614,-0.295560776,0.006333593,-0.064188749,167.SAN.2016.BELUGA.ADN_20_05407.S_20_04005.mito (bases 1 to 16386),Canada: Belcher Islands,S_20_04005,Clade A
374.NarwhalSAN.2002.NARVAL.ADN_20_05295.S_20_01223.mito (bases 1 to 16386),S_20_01223,9.242459189,-0.431861439,0.166353593,-0.530832141,-0.939142391,0.212337807,-0.134572746,-0.287886414,0.006157106,-0.061827507,374.NarwhalSAN.2002.NARVAL.ADN_20_05295.S_20_01223.mito (bases 1 to 16386),Canada: Belcher Islands,S_20_01223,Clade A
148.SAN.2005.BELUGA.ADN_20_05285.S_20_03881.mito (bases 1 to 16386),S_20_03881,-1.224071505,3.935619541,0.481372583,0.653706533,-0.206736815,0.840252136,0.2314006,0.066442477,-0.853313372,0.251006588,148.SAN.2005.BELUGA.ADN_20_05285.S_20_03881.mito (bases 1 to 16386),Canada: Belcher Islands,S_20_03881,Clade C
153.SAN.2006.BELUGA.ADN_20_05190.S_20_03759.mito (bases 1 to 16386),S_20_03759,-1.224071505,3.935619541,0.481372583,0.653706533,-0.206736815,0.840252136,0.2314006,0.066442477,-0.853313372,0.251006588,153.SAN.2006.BELUGA.ADN_20_05190.S_20_03759.mito (bases 1 to 16386),Canada: Belcher Islands,S_20_03759,Clade C
187.SAN.2010.BELUGA.ADN_20_05152.S_20_03718.mito (bases 1 to 16386),S_20_03718,-1.197559215,4.007743212,0.396935294,0.223549724,0.056542633,0.891919155,-0.056912898,0.107108477,-0.844475548,0.294558361,187.SAN.2010.BELUGA.ADN_20_05152.S_20_03718.mito (bases 1 to 16386),Canada: Belcher Islands,S_20_03718,Clade C
158.SAN.2010.BELUGA.ADN_20_05156.S_20_03722.mito (bases 1 to 16386),S_20_03722,-1.192015101,4.012654745,0.372580432,0.135259321,0.083052751,0.83290509,-0.079040371,0.12077606,-0.811591809,0.233697295,158.SAN.2010.BELUGA.ADN_20_05156.S_20_03722.mito (bases 1 to 16386),Canada: Belcher Islands,S_20_03722,Clade C
121.SAN.2017.BELUGA.ADN_20_05434.S_20_04033.mito (bases 1 to 16386),S_20_04033,-1.193351444,4.016811323,0.376884607,0.128025127,0.089090654,0.849562557,-0.104255776,0.128675997,-0.821366034,0.240690644,121.SAN.2017.BELUGA.ADN_20_05434.S_20_04033.mito (bases 1 to 16386),Canada: Belcher Islands,S_20_04033,Clade C
135.SAN.1998.BELUGA.ADN_20_05109.S_20_03675.mito (bases 1 to 16386),S_20_03675,-1.193351444,4.016811323,0.376884607,0.128025127,0.089090654,0.849562557,-0.104255776,0.128675997,-0.821366034,0.240690644,135.SAN.1998.BELUGA.ADN_20_05109.S_20_03675.mito (bases 1 to 16386),Canada: Belcher Islands,S_20_03675,Clade C
151.SAN.2006.BELUGA.ADN_20_05192.S_20_03761.mito (bases 1 to 16386),S_20_03761,-1.192383626,4.017537794,0.37603983,0.137876639,0.084299148,0.856537459,-0.081411106,0.125423287,-0.846958194,0.24824709,151.SAN.2006.BELUGA.ADN_20_05192.S_20_03761.mito (bases 1 to 16386),Canada: Belcher Islands,S_20_03761,Clade C
157.SAN.2010.BELUGA.ADN_20_05160.S_20_03726.mito (bases 1 to 16386),S_20_03726,-1.192383626,4.017537794,0.37603983,0.137876639,0.084299148,0.856537459,-0.081411106,0.125423287,-0.846958194,0.24824709,157.SAN.2010.BELUGA.ADN_20_05160.S_20_03726.mito (bases 1 to 16386),Canada: Belcher Islands,S_20_03726,Clade C
152.SAN.2006.BELUGA.ADN_20_05191.S_20_03760.mito (bases 1 to 16386),S_20_03760,-1.108889236,4.02621427,0.400743228,0.100206239,0.023593766,0.544829237,-0.08877219,0.089868034,-0.939729408,0.292201427,152.SAN.2006.BELUGA.ADN_20_05191.S_20_03760.mito (bases 1 to 16386),Canada: Belcher Islands,S_20_03760,Clade C
156.SAN.2010.BELUGA.ADN_20_05153.S_20_03719.mito (bases 1 to 16386),S_20_03719,-1.193612213,4.03393111,0.387808768,0.144756026,0.090049115,0.946383646,-0.088272254,0.14569136,-0.996309677,0.313321637,156.SAN.2010.BELUGA.ADN_20_05153.S_20_03719.mito (bases 1 to 16386),Canada: Belcher Islands,S_20_03719,Clade C
110.SAN.2013.BELUGA.ADN_20_04890.S_20_01472.mito (bases 1 to 16386),S_20_01472,-1.193735017,4.035567427,0.38897989,0.145518827,0.090550409,0.95504779,-0.089235016,0.147607709,-1.010386989,0.319192532,110.SAN.2013.BELUGA.ADN_20_04890.S_20_01472.mito (bases 1 to 16386),Canada: Belcher Islands,S_20_01472,Clade C
171.SAN.2017.BELUGA.ADN_20_05435.S_20_04034.mito (bases 1 to 16386),S_20_04034,-1.19600577,4.037072938,0.396995883,0.161450528,0.081228485,0.954880599,-0.094520213,0.146742387,-0.965153585,0.305037974,171.SAN.2017.BELUGA.ADN_20_05435.S_20_04034.mito (bases 1 to 16386),Canada: Belcher Islands,S_20_04034,Clade C
150.SAN.2005.BELUGA.ADN_20_05284.S_20_03880.mito (bases 1 to 16386),S_20_03880,-1.195130023,4.042309554,0.390512938,0.123505751,0.116053767,1.002625044,-0.013639737,0.15321799,-1.092283315,0.384978101,150.SAN.2005.BELUGA.ADN_20_05284.S_20_03880.mito (bases 1 to 16386),Canada: Belcher Islands,S_20_03880,Clade C
119.SAN.2010.BELUGA.ADN_20_05154.S_20_03720.mito (bases 1 to 16386),S_20_03720,-1.195130023,4.042309554,0.390512938,0.123505751,0.116053767,1.002625044,-0.013639737,0.15321799,-1.092283315,0.384978101,119.SAN.2010.BELUGA.ADN_20_05154.S_20_03720.mito (bases 1 to 16386),Canada: Belcher Islands,S_20_03720,Clade C
MW316087:Alaska.BristolBay (bases 1 to 16382),,-2.062600958,-1.213957869,0.120935767,-0.666228269,0.35452425,0.041978645,-0.065816508,-0.08229551,0.00164697,-0.057363568,MW316087:Alaska.BristolBay (bases 1 to 16382),USA: Bristol Bay,,Clade D
MW316089:Alaska.BristolBay (bases 1 to 16382),,-2.062599107,-1.213953762,0.120936153,-0.666210023,0.354515212,0.041978164,-0.065777035,-0.082304177,0.001645334,-0.057359847,MW316089:Alaska.BristolBay (bases 1 to 16382),USA: Bristol Bay,,Clade D
MW316090:Alaska.BristolBay (bases 1 to 16384),,-2.062599107,-1.213953762,0.120936153,-0.666210023,0.354515212,0.041978164,-0.065777035,-0.082304177,0.001645334,-0.057359847,MW316090:Alaska.BristolBay (bases 1 to 16384),USA: Bristol Bay,,Clade D
MW316091:Alaska.BristolBay (bases 1 to 16381),,-2.062599107,-1.213953762,0.120936153,-0.666210023,0.354515212,0.041978164,-0.065777035,-0.082304177,0.001645334,-0.057359847,MW316091:Alaska.BristolBay (bases 1 to 16381),USA: Bristol Bay,,Clade D
MW316085:Alaska.BristolBay (bases 1 to 16385),,-2.060952074,-1.212630811,0.119756668,-0.650234392,0.357861548,0.03840566,-0.065215673,-0.082780649,0.000230854,-0.054764778,MW316085:Alaska.BristolBay (bases 1 to 16385),USA: Bristol Bay,,Clade D
MW316088:Alaska.BristolBay (bases 1 to 16380),,-2.061964334,-1.21248059,0.119840142,-0.655696358,0.348603605,0.040825715,-0.06366427,-0.07904775,0.001577227,-0.054139211,MW316088:Alaska.BristolBay (bases 1 to 16380),USA: Bristol Bay,,Clade D
MW316093:Alaska.BristolBay (bases 1 to 16386),,-2.061962482,-1.212476481,0.11984053,-0.655678015,0.348594516,0.040825229,-0.063624367,-0.079056532,0.001575568,-0.054135421,MW316093:Alaska.BristolBay (bases 1 to 16386),USA: Bristol Bay,,Clade D
MW316086:Alaska.BristolBay (bases 1 to 16376),,-2.061752213,-1.211988961,0.119479333,-0.652259235,0.346673709,0.040455346,-0.062977393,-0.078021496,0.001555252,-0.053143431,MW316086:Alaska.BristolBay (bases 1 to 16376),USA: Bristol Bay,,Clade D
MW316101:Alaska.BristolBay (bases 1 to 16381),,-2.061752213,-1.211988961,0.119479333,-0.652259235,0.346673709,0.040455346,-0.062977393,-0.078021496,0.001555252,-0.053143431,MW316101:Alaska.BristolBay (bases 1 to 16381),USA: Bristol Bay,,Clade D
MW316092:Alaska.BristolBay (bases 1 to 16385),,-2.061750362,-1.211984854,0.11947972,-0.652240989,0.346664671,0.040454865,-0.06293792,-0.078030163,0.001553616,-0.05313971,MW316092:Alaska.BristolBay (bases 1 to 16385),USA: Bristol Bay,,Clade D
MW316288:Alaska.BristolBay (bases 1 to 16377),,-1.082484989,2.304368712,-0.712263888,-0.393622653,-0.205762671,0.408530771,0.263118721,-0.212397255,-0.964293968,-3.544779272,MW316288:Alaska.BristolBay (bases 1 to 16377),USA: Bristol Bay,,Clade C
314.CBS.2005.BELUGA.ADN_20_00969.S_20_00782.mito (bases 1 to 16387),S_20_00782,-2.195519154,-1.554728509,0.260869564,0.785309161,-0.50242209,-0.066559062,0.304659387,-0.070696213,-0.040581365,-0.073955458,314.CBS.2005.BELUGA.ADN_20_00969.S_20_00782.mito (bases 1 to 16387),Canada: Cumberland Sound,S_20_00782,Clade D
328.CBS.2005.BELUGA.ADN_20_02296.S_20_00664.mito (bases 1 to 16387),S_20_00664,-2.195518753,-1.554727496,0.260869455,0.785313088,-0.502424068,-0.066559071,0.304668218,-0.070698215,-0.04058128,-0.073954982,328.CBS.2005.BELUGA.ADN_20_02296.S_20_00664.mito (bases 1 to 16387),Canada: Cumberland Sound,S_20_00664,Clade D
297.CBS.2000.BELUGA.ADN_20_04814.S_20_01335.mito (bases 1 to 16387),S_20_01335,-2.138524979,-1.539071957,0.009526817,0.690002051,-0.155420907,-0.140416899,0.454128028,0.361366335,0.007944123,0.125584286,297.CBS.2000.BELUGA.ADN_20_04814.S_20_01335.mito (bases 1 to 16387),Canada: Cumberland Sound,S_20_01335,Clade D
306.CBS.2001.BELUGA.ADN_20_04816.S_20_01329.mito (bases 1 to 16387),S_20_01329,-2.138524979,-1.539071957,0.009526817,0.690002051,-0.155420907,-0.140416899,0.454128028,0.361366335,0.007944123,0.125584286,306.CBS.2001.BELUGA.ADN_20_04816.S_20_01329.mito (bases 1 to 16387),Canada: Cumberland Sound,S_20_01329,Clade D
309.CBS.2002.BELUGA.ADN_20_01145.S_20_00662.mito (bases 1 to 16387),S_20_00662,-2.138524979,-1.539071957,0.009526817,0.690002051,-0.155420907,-0.140416899,0.454128028,0.361366335,0.007944123,0.125584286,309.CBS.2002.BELUGA.ADN_20_01145.S_20_00662.mito (bases 1 to 16387),Canada: Cumberland Sound,S_20_00662,Clade D
300.CBS.1994.BELUGA.ADN_20_05968.S_20_03496.mito (bases 1 to 16387),S_20_03496,-2.188732783,-1.535703144,0.236230682,0.651681427,-0.411717878,-0.045723226,0.187971511,-0.036872993,-0.019397056,-0.01869198,300.CBS.1994.BELUGA.ADN_20_05968.S_20_03496.mito (bases 1 to 16387),Canada: Cumberland Sound,S_20_03496,Clade D
MW316166:Canada.Pangnirtung (bases 1 to 16386),,-2.188732783,-1.535703144,0.236230682,0.651681427,-0.411717878,-0.045723226,0.187971511,-0.036872993,-0.019397056,-0.01869198,MW316166:Canada.Pangnirtung (bases 1 to 16386),Canada: Cumberland Sound,,Clade D
324.CBS.2007.BELUGA.ADN_20_02283.S_20_00781.mito (bases 1 to 16387),S_20_00781,-2.188732783,-1.535703144,0.236230682,0.651681427,-0.411717878,-0.045723226,0.187971511,-0.036872993,-0.019397056,-0.01869198,324.CBS.2007.BELUGA.ADN_20_02283.S_20_00781.mito (bases 1 to 16387),Canada: Cumberland Sound,S_20_00781,Clade D
329.CBS.2010.BELUGA.ADN_20_05937.S_20_01546.mito (bases 1 to 16387),S_20_01546,-2.188732783,-1.535703144,0.236230682,0.651681427,-0.411717878,-0.045723226,0.187971511,-0.036872993,-0.019397056,-0.01869198,329.CBS.2010.BELUGA.ADN_20_05937.S_20_01546.mito (bases 1 to 16387),Canada: Cumberland Sound,S_20_01546,Clade D
331.CBS.1997.BELUGA.ADN_20_04937.S_20_01432.mito (bases 1 to 16387),S_20_01432,-2.188732783,-1.535703144,0.236230682,0.651681427,-0.411717878,-0.045723226,0.187971511,-0.036872993,-0.019397056,-0.01869198,331.CBS.1997.BELUGA.ADN_20_04937.S_20_01432.mito (bases 1 to 16387),Canada: Cumberland Sound,S_20_01432,Clade D
381.NarwhalCBS.2007.NARVAL.ADN_20_02284.S_20_01218.mito (bases 1 to 16387),S_20_01218,-2.188732783,-1.535703144,0.236230682,0.651681427,-0.411717878,-0.045723226,0.187971511,-0.036872993,-0.019397056,-0.01869198,381.NarwhalCBS.2007.NARVAL.ADN_20_02284.S_20_01218.mito (bases 1 to 16387),Canada: Cumberland Sound,S_20_01218,Clade D
MW316169:Canada.Pangnirtung (bases 1 to 16382),,-2.186915801,-1.530723726,0.228450926,0.624822694,-0.389027705,-0.045048057,0.1805693,-0.016631171,-0.015993287,-0.007294632,MW316169:Canada.Pangnirtung (bases 1 to 16382),Canada: Cumberland Sound,,Clade D
342.CBS.2002.BELUGA.ADN_20_01137.S_20_03522.mito (bases 1 to 16386),S_20_03522,-2.186429802,-1.528944277,0.22700696,0.599171332,-0.377822723,-0.038468465,0.186811741,-0.048392544,-0.017526282,-0.022421405,342.CBS.2002.BELUGA.ADN_20_01137.S_20_03522.mito (bases 1 to 16386),Canada: Cumberland Sound,S_20_03522,Clade D
299.CBS.1984.BELUGA.ADN_20_05878.S_20_01597.mito (bases 1 to 16387),S_20_01597,-2.186255492,-1.528848017,0.228359635,0.613704678,-0.386363636,-0.04107565,0.165166464,-0.031465139,-0.016337591,-0.014764129,299.CBS.1984.BELUGA.ADN_20_05878.S_20_01597.mito (bases 1 to 16387),Canada: Cumberland Sound,S_20_01597,Clade D
302.CBS.2016.BELUGA.ADN_20_05906.S_20_01580.mito (bases 1 to 16387),S_20_01580,-2.186256289,-1.528843044,0.228361537,0.613694178,-0.386360539,-0.041077142,0.165181537,-0.031474898,-0.016316661,-0.014774758,302.CBS.2016.BELUGA.ADN_20_05906.S_20_01580.mito (bases 1 to 16387),Canada: Cumberland Sound,S_20_01580,Clade D
301.CBS.1984.BELUGA.ADN_20_05960.S_20_01539.mito (bases 1 to 16387),S_20_01539,-2.185805632,-1.527607701,0.226980405,0.607236905,-0.38206194,-0.040323422,0.161564012,-0.030637564,-0.015876422,-0.01421029,301.CBS.1984.BELUGA.ADN_20_05960.S_20_01539.mito (bases 1 to 16387),Canada: Cumberland Sound,S_20_01539,Clade D
303.CBS.1997.BELUGA.ADN_20_04678.S_20_01327.mito (bases 1 to 16387),S_20_01327,-2.185580771,-1.526988296,0.226297023,0.604053804,-0.379946817,-0.03995761,0.159820888,-0.030239805,-0.015655222,-0.01394892,303.CBS.1997.BELUGA.ADN_20_04678.S_20_01327.mito (bases 1 to 16387),Canada: Cumberland Sound,S_20_01327,Clade D
322.CBS.2006.BELUGA.ADN_20_02286.S_20_00785.mito (bases 1 to 16387),S_20_00785,-2.185580771,-1.526988296,0.226297023,0.604053804,-0.379946817,-0.03995761,0.159820888,-0.030239805,-0.015655222,-0.01394892,322.CBS.2006.BELUGA.ADN_20_02286.S_20_00785.mito (bases 1 to 16387),Canada: Cumberland Sound,S_20_00785,Clade D
326.CBS.2002.BELUGA.ADN_20_02300.S_20_00694.mito (bases 1 to 16387),S_20_00694,-2.185580771,-1.526988296,0.226297023,0.604053804,-0.379946817,-0.03995761,0.159820888,-0.030239805,-0.015655222,-0.01394892,326.CBS.2002.BELUGA.ADN_20_02300.S_20_00694.mito (bases 1 to 16387),Canada: Cumberland Sound,S_20_00694,Clade D
334.CBS.2002.BELUGA.ADN_20_02420.S_20_00776.mito (bases 1 to 16387),S_20_00776,-2.185580771,-1.526988296,0.226297023,0.604053804,-0.379946817,-0.03995761,0.159820888,-0.030239805,-0.015655222,-0.01394892,334.CBS.2002.BELUGA.ADN_20_02420.S_20_00776.mito (bases 1 to 16387),Canada: Cumberland Sound,S_20_00776,Clade D
380.NarwhalCBS.2006.NARVAL.ADN_20_02403.S_20_00669.mito (bases 1 to 16386),S_20_00669,-2.185580771,-1.526988296,0.226297023,0.604053804,-0.379946817,-0.03995761,0.159820888,-0.030239805,-0.015655222,-0.01394892,380.NarwhalCBS.2006.NARVAL.ADN_20_02403.S_20_00669.mito (bases 1 to 16386),Canada: Cumberland Sound,S_20_00669,Clade D
317.CBS.2005.BELUGA.ADN_20_02375.S_20_00693.mito (bases 1 to 16387),S_20_00693,-2.188467122,-1.521129987,0.24095678,0.640309145,-0.396999145,0.018075145,0.171025894,-0.020783892,-0.119622871,0.02524559,317.CBS.2005.BELUGA.ADN_20_02375.S_20_00693.mito (bases 1 to 16387),Canada: Cumberland Sound,S_20_00693,Clade D
340.CBS.2009.BELUGA.ADN_20_04646.S_20_01255.mito (bases 1 to 16386),S_20_01255,-2.041705296,-1.391075775,0.035746558,-0.469152472,0.21842157,0.006218343,-0.605976687,0.122964145,-0.002577655,-0.015418956,340.CBS.2009.BELUGA.ADN_20_04646.S_20_01255.mito (bases 1 to 16386),Canada: Cumberland Sound,S_20_01255,Clade D
305.CBS.1997.BELUGA.ADN_20_05020.S_20_01273.mito (bases 1 to 16386),S_20_01273,-2.132788696,-1.374792681,0.010872107,-0.592359563,0.323535232,0.012674866,-0.293806091,0.067280908,0.059770275,0.117517125,305.CBS.1997.BELUGA.ADN_20_05020.S_20_01273.mito (bases 1 to 16386),Canada: Cumberland Sound,S_20_01273,Clade D
MW316167:Canada.Pangnirtung (bases 1 to 16386),,-2.132569289,-1.374235238,0.010839374,-0.589254449,0.321744117,0.012559881,-0.2906362,0.066407419,0.05893752,0.115355638,MW316167:Canada.Pangnirtung (bases 1 to 16386),Canada: Cumberland Sound,,Clade D
304.CBS.1997.BELUGA.ADN_20_04853.S_20_01409.mito (bases 1 to 16386),S_20_01409,-2.061996456,-1.2142383,0.125063679,-0.611071044,0.318428792,0.03719459,-0.044424367,-0.068909179,0.009977242,-0.046470525,304.CBS.1997.BELUGA.ADN_20_04853.S_20_01409.mito (bases 1 to 16386),Canada: Cumberland Sound,S_20_01409,Clade D
MW316165:Canada.Pangnirtung (bases 1 to 16386),,-1.813054576,-0.924731799,-0.34060247,-1.187714351,0.973753803,0.015688997,1.521525824,-0.089902395,-0.016154781,0.309358059,MW316165:Canada.Pangnirtung (bases 1 to 16386),Canada: Cumberland Sound,,Clade D
MW316168:Canada.Pangnirtung (bases 1 to 16386),,-1.811522585,-0.920836193,-0.341014872,-1.170607126,0.964969972,0.015629871,1.56390319,-0.100414712,-0.015671161,0.311478863,MW316168:Canada.Pangnirtung (bases 1 to 16386),Canada: Cumberland Sound,,Clade D
313.CBS.2002.BELUGA.ADN_20_02297.S_20_03511.mito (bases 1 to 16386),S_20_03511,-1.893473522,-0.898833529,-0.35064998,-1.135520109,0.933114953,0.014351472,1.525511196,-0.103973545,-0.01510402,0.272861766,313.CBS.2002.BELUGA.ADN_20_02297.S_20_03511.mito (bases 1 to 16386),Canada: Cumberland Sound,S_20_03511,Clade D
MW316171:Canada.Pangnirtung (bases 1 to 16385),,-1.942949301,-0.893341618,-0.131343026,-1.192733384,0.698602155,0.106412584,1.282643046,-0.474085497,-0.039483954,0.149658132,MW316171:Canada.Pangnirtung (bases 1 to 16385),Canada: Cumberland Sound,,Clade D
332.CBS.2002.BELUGA.ADN_20_02301.S_20_01418.mito (bases 1 to 16386),S_20_01418,-1.942949301,-0.893341618,-0.131343026,-1.192733384,0.698602155,0.106412584,1.282643046,-0.474085497,-0.039483954,0.149658132,332.CBS.2002.BELUGA.ADN_20_02301.S_20_01418.mito (bases 1 to 16386),Canada: Cumberland Sound,S_20_01418,Clade D
327.CBS.2002.BELUGA.ADN_20_02299.S_20_00663.mito (bases 1 to 16386),S_20_00663,-1.942749424,-0.892979391,-0.130947585,-1.186481144,0.694734641,0.105447214,1.268804533,-0.467930581,-0.03893384,0.146905477,327.CBS.2002.BELUGA.ADN_20_02299.S_20_00663.mito (bases 1 to 16386),Canada: Cumberland Sound,S_20_00663,Clade D
330.CBS.1997.BELUGA.ADN_20_04935.S_20_01430.mito (bases 1 to 16386),S_20_01430,-1.932779326,-0.853762195,-0.129116786,-1.239159718,0.602388908,0.155275315,1.242758508,-0.692770998,-0.001947618,0.226994413,330.CBS.1997.BELUGA.ADN_20_04935.S_20_01430.mito (bases 1 to 16386),Canada: Cumberland Sound,S_20_01430,Clade D
MW316163:Canada.Pangnirtung (bases 1 to 16386),,9.666652045,-0.510357586,-0.019560381,-0.276934331,-0.353352334,-0.053475457,0.339024179,0.984938214,0.004541246,-0.020950171,MW316163:Canada.Pangnirtung (bases 1 to 16386),Canada: Cumberland Sound,,Clade A
MW316170:Canada.Pangnirtung (bases 1 to 16385),,-1.174685291,3.681835128,0.147040237,-0.215929692,-0.697372944,-2.276890876,-0.419871822,-0.061730538,-0.747130095,0.175342602,MW316170:Canada.Pangnirtung (bases 1 to 16385),Canada: Cumberland Sound,,Clade C
323.CBS.2007.BELUGA.ADN_20_02295.S_20_03510.mito (bases 1 to 16386),S_20_03510,-1.211921368,3.780363389,0.379291655,0.574631987,-0.24438225,-0.007095446,0.286142286,-0.10331554,0.565476627,-0.03835476,323.CBS.2007.BELUGA.ADN_20_02295.S_20_03510.mito (bases 1 to 16386),Canada: Cumberland Sound,S_20_03510,Clade C
298.CBS.1982.BELUGA.ADN_20_05930.S_20_01556.mito (bases 1 to 16386),S_20_01556,-1.111246784,3.830810117,0.241231822,-0.421942829,-0.55857406,-2.199617718,-0.028293655,-0.208074342,-0.730967181,0.140972421,298.CBS.1982.BELUGA.ADN_20_05930.S_20_01556.mito (bases 1 to 16386),Canada: Cumberland Sound,S_20_01556,Clade C
341.CBS.2007.BELUGA.ADN_20_02285.S_20_00784.mito (bases 1 to 16386),S_20_00784,-1.111246784,3.830810117,0.241231822,-0.421942829,-0.55857406,-2.199617718,-0.028293655,-0.208074342,-0.730967181,0.140972421,341.CBS.2007.BELUGA.ADN_20_02285.S_20_00784.mito (bases 1 to 16386),Canada: Cumberland Sound,S_20_00784,Clade C
MW316164:Canada.Pangnirtung (bases 1 to 16386),,-1.111246784,3.830810117,0.241231822,-0.421942829,-0.55857406,-2.199617718,-0.028293655,-0.208074342,-0.730967181,0.140972421,MW316164:Canada.Pangnirtung (bases 1 to 16386),Canada: Cumberland Sound,,Clade C
325.CBS.2007.BELUGA.ADN_20_02294.S_20_03509.mito (bases 1 to 16386),S_20_03509,-1.11160192,3.835351867,0.243576653,-0.425252628,-0.565039597,-2.240768993,-0.033200664,-0.212526538,-0.742558572,0.146081851,325.CBS.2007.BELUGA.ADN_20_02294.S_20_03509.mito (bases 1 to 16386),Canada: Cumberland Sound,S_20_03509,Clade C
336.CBS.1997.BELUGA.ADN_20_04666.S_20_01270.mito (bases 1 to 16386),S_20_01270,-1.112618093,3.849573114,0.250417206,-0.451002795,-0.599431415,-2.481347012,-0.032762438,-0.249366119,-0.889841829,0.185788356,336.CBS.1997.BELUGA.ADN_20_04666.S_20_01270.mito (bases 1 to 16386),Canada: Cumberland Sound,S_20_01270,Clade C
MW316287:Alaska.CookInlet (bases 1 to 16384),,-2.122712432,-1.36058345,0.019325525,-0.408409158,0.194882308,0.000619514,-0.442655048,0.083206095,-0.003221751,-0.01372772,MW316287:Alaska.CookInlet (bases 1 to 16384),USA: Cook Inlet,,Clade D
MW316100:Alaska.CookInlet (bases 1 to 16380),,-2.060054762,-1.208050484,0.116563442,-0.624295382,0.330888339,0.037420838,-0.057258901,-0.069382791,0.001390145,-0.044634097,MW316100:Alaska.CookInlet (bases 1 to 16380),USA: Cook Inlet,,Clade D
MW316098:Alaska.CookInlet (bases 1 to 16385),,-1.892894716,-0.897728241,-0.350183601,-1.114882956,0.922383997,0.009918067,1.483260196,-0.076050903,-0.012475879,0.261840459,MW316098:Alaska.CookInlet (bases 1 to 16385),USA: Cook Inlet,,Clade D
MW316096:Alaska.CookInlet (bases 1 to 16384),,-1.893453532,-0.89340936,-0.348844918,-1.120006519,0.928421212,0.010478718,1.499125529,-0.078558949,0.00912989,0.26471254,MW316096:Alaska.CookInlet (bases 1 to 16384),USA: Cook Inlet,,Clade D
MW316097:Alaska.CookInlet (bases 1 to 16386),,-1.082371779,2.303438458,-0.710119052,-0.39154106,-0.204632592,0.40482412,0.26031939,-0.20964843,-0.950860488,-3.47957658,MW316097:Alaska.CookInlet (bases 1 to 16386),USA: Cook Inlet,,Clade C
MW316099:Alaska.CookInlet (bases 1 to 16386),,-1.082371779,2.303438458,-0.710119052,-0.39154106,-0.204632592,0.40482412,0.26031939,-0.20964843,-0.950860488,-3.47957658,MW316099:Alaska.CookInlet (bases 1 to 16386),USA: Cook Inlet,,Clade C
MW316094:Alaska.CookInlet (bases 1 to 16382),,-1.187127401,3.705247139,0.160059051,-0.217229711,-0.245009946,-0.226151302,0.033660377,0.050224516,0.339602745,-0.190437252,MW316094:Alaska.CookInlet (bases 1 to 16382),USA: Cook Inlet,,Clade C
