"Numero_unique_specimen","Numero_reception_specimen","Numero_unique_groupe","Nom_commun","Genre","Espece","Couleur_individu","Age","Sexe_visuel","Region_echantillonnage","Lieu_echantillonnage","Latitude_echantillonnage_DD","Longitude_echantillonnage_DD","Annee_echantillonnage","Mois_echantillonnage","Jour_echantillonnage","Communaute","Nom_chasseur","Sexe_laboratoire","Technique_sexage","Responsable_sexage","Numero_unique_extrait","Haplotype","Librairie_ref"
"S_20_01749","DL19_010","G_20_01749","BELUGA","Delphinapterus","leucas","White",NA,NA,"SHS","Kangiqsujuaq",NA,NA,2019,"11",6,"Kangiqsujuaq","Jaani_Qumaaluk","M","qPCR","S_Guillou","ADN_20_04555","HL049","librairie_143_haplotypes615"
"S_20_01750","DL19_213","G_20_01750","BELUGA","Delphinapterus","leucas",NA,NA,NA,"SHS","Ivujivik",NA,NA,2019,"7",6,NA,NA,"F","qPCR","S_Guillou","ADN_20_04597","HL001","librairie_143_haplotypes615"
"S_20_01751","DL19_203","G_20_01751","BELUGA","Delphinapterus","leucas",NA,NA,NA,"SHS","Ivujivik",NA,NA,2019,"7",5,NA,NA,"F","qPCR","S_Guillou","ADN_20_04593","HL011","librairie_143_haplotypes615"
"S_20_01752","DL19_020","G_20_01752","BELUGA","Delphinapterus","leucas","Grey",NA,NA,"SHS","Kangiqsujuaq",NA,NA,2019,"11",7,"Kangiqsujuaq","Jaani_Qumaaluk","M","qPCR","S_Guillou","ADN_20_04573","HL049","librairie_143_haplotypes615"
"S_20_01753","DL20_290","G_20_01753","BELUGA","Delphinapterus","leucas","Grey",NA,NA,"SHS","Quaqtaq",NA,NA,2020,"11",8,"Quaqtaq","Willie_Jararuse","F","qPCR","S_Guillou","ADN_20_04581","HL003","librairie_143_haplotypes615"
"S_20_01754","DL20_284","G_20_01754","BELUGA","Delphinapterus","leucas","Grey",NA,NA,"SHS","Quaqtaq",NA,NA,2020,"11",9,"Quaqtaq","Mathew_Okpik","M","qPCR","S_Guillou","ADN_20_04585","HL049","librairie_143_haplotypes615"
"S_20_01755","DL20_113","G_20_01755","BELUGA","Delphinapterus","leucas","Grey",NA,NA,"SHS","Quaqtaq",NA,NA,2020,"11",23,"Quaqtaq","Willie_Jararuse","M","qPCR","S_Guillou","ADN_20_04559","HL003","librairie_143_haplotypes615"
"S_20_01756","DL20_106","G_20_01756","BELUGA","Delphinapterus","leucas","Dark_Grey",NA,NA,"SHS","Quaqtaq",NA,NA,2020,"11",9,"Quaqtaq","Mathew_Okpik","M","qPCR","S_Guillou","ADN_20_04552","HL001","librairie_143_haplotypes615"
"S_20_01757","DL20_103","G_20_01757","BELUGA","Delphinapterus","leucas","White",NA,NA,"SHS","Quaqtaq",NA,NA,2020,"11",9,"Quaqtaq","Mathew_Okpik","M","qPCR","S_Guillou","ADN_20_04570","HL002","librairie_143_haplotypes615"
"S_20_01758","DL2017_002","G_20_01758","BELUGA","Delphinapterus","leucas",NA,36,"M","SLE","Sainte_Flavie",NA,NA,2017,"9",9,"Saint_Laurent",NA,"U","qPCR","C_Bonnet","ADN_20_04499","HL099","librairie_143_haplotypes615"
"S_20_01759","DL2018_103","G_20_01759","BELUGA","Delphinapterus","leucas",NA,NA,"M","SLE","Riviere_du_Loup",NA,NA,2018,"7",9,"Saint_Laurent",NA,"M","qPCR","C_Bonnet","ADN_20_04497","HL100","librairie_143_haplotypes615"
"S_20_01760","DL2017_003","G_20_01760","BELUGA","Delphinapterus","leucas",NA,43,"F","SLE","Riviere_Ouelle",NA,NA,2017,"9",20,"Saint_Laurent",NA,"U","qPCR","C_Bonnet",NA,NA,NA
"S_20_01761","Dl2018_107","G_20_01761","BELUGA","Delphinapterus","leucas",NA,2,NA,"SLE","Ile_aux_Lievres",NA,NA,2018,"8",15,"Saint_Laurent",NA,"U","qPCR","S_Guillou","ADN_20_04498","HL099","librairie_143_haplotypes615"
"S_20_01762","DL2019_004_F","G_20_01762","BELUGA","Delphinapterus","leucas","White",33,"F","SLE","Sainte_Flavie","48.6212","-68.2115",2019,"7",4,"Saint_Laurent",NA,"F","qPCR","S_Guillou","ADN_20_01945","HL099","librairie_143_haplotypes615"
"S_20_01763","DL2018_102","G_20_01763","BELUGA","Delphinapterus","leucas","White",10,"M","SLE","Cap_aux_Oies","47.498137","-70.236441",2018,"6",2,"Saint_Laurent",NA,"M","qPCR","S_Guillou","ADN_20_04289","HL099","librairie_143_haplotypes615"
"S_20_01764","DL2018_001","G_20_01764","BELUGA","Delphinapterus","leucas","White",47,"F","SLE","Ile_Verte","48.130667","-69.530167",2018,"5",20,"Saint_Laurent",NA,"F","qPCR","S_Guillou","ADN_20_04285","HL099","librairie_143_haplotypes615"
"S_20_01765","IN94_07","G_20_01765","BELUGA","Delphinapterus","leucas",NA,27,"F","SEH","Nastapoka_River","56.91","-76.5441666666667",1994,"8",NA,"Inukjuak",NA,"F","qPCR","S_Guillou","ADN_20_01678","HL019","librairie_143_haplotypes615"
"S_20_01766","DL2017_004","G_20_01766","BELUGA","Delphinapterus","leucas","White",45,"F","SLE","Saint_Ulric","48.858613","-67.531705",2017,"10",23,"Saint_Laurent",NA,"F","qPCR","S_Guillou","ADN_20_04281","HL099","librairie_143_haplotypes615"
"S_20_01767","DL2017_005","G_20_01767","BELUGA","Delphinapterus","leucas","Grey",7,"M","SLE","Saint_Ulric","48.794966","-67.6897",2017,"11",28,"Saint_Laurent",NA,"M","qPCR","S_Guillou","ADN_20_04282","HL099","librairie_143_haplotypes615"
"S_20_01768","DL_01_02_00","G_20_01768","BELUGA","Delphinapterus","leucas",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"F","qPCR","S_Guillou","ADN_20_04487","HL099","librairie_143_haplotypes615"
"S_20_01769","DL2009_002","G_20_01769","BELUGA","Delphinapterus","leucas","Grey",1,"M","SLE","Tadoussac","48.1414","-69.7091",2009,"7",29,"Saint_Laurent",NA,"M","qPCR","C_Bonnet","ADN_20_04488","HL050","librairie_143_haplotypes615"
"S_20_01770","DL2009_003","G_20_01770","BELUGA","Delphinapterus","leucas",NA,NA,"M","SLE","Sainte_Flavie","48.6127","-68.2287",2009,"8",1,"Saint_Laurent",NA,"M","qPCR","C_Bonnet","ADN_20_04489","HL099","librairie_143_haplotypes615"
"S_20_01771","DL2009_108","G_20_01771","BELUGA","Delphinapterus","leucas",NA,NA,NA,"SLE","Ile_Verte","48.0235","-69.4516",2009,"10",17,"Saint_Laurent",NA,"M","qPCR","S_Guillou","ADN_20_04494","HL099","librairie_143_haplotypes615"
"S_20_01772","DL2009_101","G_20_01772","BELUGA","Delphinapterus","leucas",NA,NA,"M","SLE","Anticosti","49.8161","-64.3518",2009,"6",22,"Saint_Laurent",NA,"U","qPCR","C_Bonnet","ADN_20_04490","HL016","librairie_143_haplotypes615"
"S_20_01773","DL2011_002_B","G_20_01773","BELUGA","Delphinapterus","leucas","Grey",0,NA,"SLE","Rimouski_est","48.7852777777778","-68.5427777777778",2011,"5",19,"Saint_Laurent",NA,"F","qPCR","S_Guillou","ADN_20_05036","HL008","librairie_143_haplotypes615"
"S_20_01774","DL2009_005","G_20_01774","BELUGA","Delphinapterus","leucas","White",48,"F","SLE","Pointe_au_Pere","48.5189","-68.464644",2009,"9",15,"Saint_Laurent",NA,"F","qPCR","C_Bonnet","ADN_20_04294",NA,"librairie_143_haplotypes615"
"S_20_01775","DL2009_102","G_20_01775","BELUGA","Delphinapterus","leucas","White",26,"M","SLE","Riviere_Ouelle","47.4422","-70.0402",2009,"7",1,"Saint_Laurent",NA,"M","qPCR","S_Guillou","ADN_20_04291","HL049","librairie_143_haplotypes615"
"S_20_01776","DL2009_001","G_20_01776","BELUGA","Delphinapterus","leucas",NA,NA,"F","SLE","Sainte_Luce","48.5508","-68.3387",2009,"6",16,"Saint_Laurent",NA,"F","PCR","C_Bonnet",NA,NA,NA
"S_20_01777","DL2018_003","G_20_01777","BELUGA","Delphinapterus","leucas","White",36,"F","SLE","Le_Bic","48.396949","-68.677792",2018,"7",22,"Saint_Laurent",NA,"F","qPCR","S_Guillou","ADN_20_04287","HL008","librairie_143_haplotypes615"
"S_20_01778","DL2018_101","G_20_01778","BELUGA","Delphinapterus","leucas",NA,NA,"M","SLE","Perce",NA,NA,2018,"3",26,"Saint_Laurent",NA,"U","qPCR","C_Bonnet","ADN_20_04496","HL101","librairie_143_haplotypes615"
"S_20_01779","DL2009_109","G_20_01779","BELUGA","Delphinapterus","leucas","White",40,"F","SLE","Saint_Ulric","48.788","-67.702",2009,"10",24,"Saint_Laurent",NA,"F","qPCR","S_Guillou","ADN_20_04495","HL016","librairie_143_haplotypes615"
"S_20_01780","DL2009_105","G_20_01780","BELUGA","Delphinapterus","leucas",NA,9,"F","SLE","Baie_Comeau","49.2581","-68.1321",2009,"7",16,"Saint_Laurent",NA,"U","qPCR","C_Bonnet","ADN_20_02017","HL099","librairie_143_haplotypes615"
"S_20_01781","DL2009_104","G_20_01781","BELUGA","Delphinapterus","leucas","White",37,"F","SLE","LAnse_au_Loup","51.5221","-56.8288",2009,"7",12,"Terre_Neuve",NA,"F","qPCR","S_Guillou","ADN_20_04491","HL024","librairie_143_haplotypes615"
"S_20_01782","DL2009_106","G_20_01782","BELUGA","Delphinapterus","leucas",NA,22,"F","SLE","Portneuf_sur_mer","48.6094","-69.0962",2009,"7",27,"Saint_Laurent",NA,"U","qPCR","C_Bonnet","ADN_20_04493","HL099","librairie_143_haplotypes615"
"S_20_01783","DL2015_003_F","G_20_01783","BELUGA","Delphinapterus","leucas","White",21,"F","SLE","Sainte_Flavie","48.6127","-68.2287",2015,"7",17,"Saint_Laurent",NA,"U","PCR","C_Bonnet","ADN_20_04295","HL102","librairie_143_haplotypes615"
"S_20_01784","IN94_06","G_20_01784","BELUGA","Delphinapterus","leucas",NA,11,"M","SEH","Nastapoka_River","56.91","-76.5441666666667",1994,"8",NA,"Inukjuak",NA,"M","qPCR","S_Guillou","ADN_20_01677","HL019","librairie_143_haplotypes615"
"S_20_01785","DL2017_001","G_20_01785","BELUGA","Delphinapterus","leucas","White",53,"F","SLE","Ile_aux_Basques","48.144625","-69.247415",2017,"5",20,"Saint_Laurent",NA,"F","qPCR","S_Guillou","ADN_20_04280","HL099","librairie_143_haplotypes615"
"S_20_01786","DL2017_006","G_20_01786","BELUGA","Delphinapterus","leucas","Grey",NA,"F","SLE","Cap_Colombier","48.8232663164239","-68.8775701730362",2017,"7",7,"Saint_Laurent",NA,"F","qPCR","C_Bonnet","ADN_20_04283","HL099","librairie_143_haplotypes615"
"S_20_01787","DL2018_002","G_20_01787","BELUGA","Delphinapterus","leucas","White",18,"F","SLE","Petit_Matane","48.857667","-67.473944",2018,"7",10,"Saint_Laurent",NA,"F","qPCR","S_Guillou","ADN_20_04286","HL099","librairie_143_haplotypes615"
"S_20_01788","Dl2017_007","G_20_01788","BELUGA","Delphinapterus","leucas","Grey",NA,"M","SLE","Grand_Metis","48.655252","-68.072588",2017,"8",1,"Saint_Laurent",NA,"M","qPCR","C_Bonnet","ADN_20_04284","HL099","librairie_143_haplotypes615"
"S_20_01789","Dl2007JB_05","G_20_01789","BELUGA","Delphinapterus","leucas",NA,NA,"M","JAM","Pointe_de_Repentigny","52.64","-78.856",2007,"8",20,"DFO_MPO",NA,NA,NA,NA,NA,NA,NA
"S_20_01790","DL2007JB_04","G_20_01790","BELUGA","Delphinapterus","leucas",NA,NA,"F","JAM","Pointe_de_Repentigny","52.64","-78.856",2007,"8",14,"DFO_MPO",NA,"F","qPCR","S_Guillou","ADN_20_02503","HL011","librairie_143_haplotypes615"
"S_20_01791","IN94_08","G_20_01791","BELUGA","Delphinapterus","leucas",NA,8,"M","SEH","Nastapoka_River","56.91","-76.5441666666667",1994,"8",NA,"Inukjuak",NA,"U","qPCR","S_Guillou","ADN_20_01675","HL008","librairie_143_haplotypes615"
"S_20_01792","IN94_01","G_20_01792","BELUGA","Delphinapterus","leucas",NA,9,"F","SEH","Nastapoka_River","56.91","-76.5441666666667",1994,"8",NA,"Inukjuak",NA,"F","qPCR","S_Guillou","ADN_20_01676","HL009","librairie_143_haplotypes615"
"S_20_01793","IN94_03","G_20_01793","BELUGA","Delphinapterus","leucas",NA,12,"F","SEH","Nastapoka_River","56.91","-76.5441666666667",1994,"8",16,"Inukjuak",NA,"M","qPCR","C_Bonnet","ADN_20_01670","HL103","librairie_143_haplotypes615"
"S_20_01794","DL2018_105","G_20_01794","BELUGA","Delphinapterus","leucas","Grey",0,"M","SLE","Riviere_Ouelle","47.485684","-70.023444",2018,"7",30,"Saint_Laurent",NA,"M","qPCR","S_Guillou","ADN_20_04290","HL010","librairie_143_haplotypes615"
"S_20_01795","DL2011_005_B","G_20_01795","BELUGA","Delphinapterus","leucas","Grey",0,NA,"SLE","Les_Boules","48.6902777777778","-67.9711111111111",2011,"8",9,"Saint_Laurent",NA,"U","qPCR","S_Guillou","ADN_20_02097","HL099","librairie_143_haplotypes615"
"S_20_01796","DL13_241","G_20_01796","BELUGA","Delphinapterus","leucas","White",28,NA,"SHS","Hudson_Strait",NA,NA,2019,"10",25,"Puvirnituq","Paulusie_Beaulne","F","qPCR","S_Guillou","ADN_20_02157","HL049","librairie_143_haplotypes615"
"S_20_01797","DL2018_004","G_20_01797","BELUGA","Delphinapterus","leucas","White",45,"F","SLE","Baie_Sainte_Catherine","48.161905","-69.877651",2018,"7",29,"Saint_Laurent",NA,"F","qPCR","S_Guillou","ADN_20_04288","HL099","librairie_143_haplotypes615"
"S_20_01798","DL2007JB_03","G_20_01798","BELUGA","Delphinapterus","leucas",NA,NA,"F","JAM","Pointe_de_Repentigny","52.64","-78.856",2007,"8",14,"DFO_MPO",NA,"F","qPCR","S_Guillou","ADN_20_02502","HL008","librairie_143_haplotypes615"
"S_20_01799","DL2007JB_01","G_20_01799","BELUGA","Delphinapterus","leucas",NA,28,"F","JAM","Pointe_de_Repentigny","52.64","-78.856",2007,"8",9,"DFO_MPO",NA,"F","qPCR","S_Guillou","ADN_20_04509","HL008","librairie_143_haplotypes615"
"S_20_01800","DL2007JB_02","G_20_01800","BELUGA","Delphinapterus","leucas",NA,3,"F","JAM","Pointe_de_Repentigny","52.64","-78.856",2007,"8",9,"DFO_MPO",NA,"M","qPCR","C_Bonnet","ADN_20_04529","HL008","librairie_143_haplotypes615"
"S_20_01801","DLN01_14","G_20_01801","BELUGA","Delphinapterus","leucas",NA,NA,"M","SEH","Nastapoka_Sound","57.06536","-76.56481",2001,"8",7,"Inukjuak",NA,"M","qPCR","C_Bonnet","ADN_20_01622","HL013","librairie_143_haplotypes615"
"S_20_01802","DL2007JB_06","G_20_01802","BELUGA","Delphinapterus","leucas",NA,12,"F","JAM","Pointe_de_Repentigny","52.64","-78.856",2007,"8",25,"DFO_MPO",NA,"M","qPCR","S_Guillou","ADN_20_04510","HL008","librairie_143_haplotypes615"
"S_20_01803","DLN01_04","G_20_01803","BELUGA","Delphinapterus","leucas",NA,16,"M","SEH","Nastapoka_Sound","57.35624","-76.67351",2001,"8",3,"Inukjuak",NA,"M","qPCR","C_Bonnet","ADN_20_01735","HL009","librairie_143_haplotypes615"
"S_20_01804","DL13_235","G_20_01804","BELUGA","Delphinapterus","leucas","White",18,NA,"SHS","Hudson_Strait",NA,NA,2019,"10",25,"Puvirnituq","Paulusie_Beaulne","F","qPCR","S_Guillou","ADN_20_02156","HL049","librairie_143_haplotypes615"
"S_20_01805","DL_4096","G_20_01805","BELUGA","Delphinapterus","leucas",NA,NA,"F","SHS","Baie_Kangiararjuk","61.561","-71.652",2002,"7",3,"Kangiqsujuaq",NA,"F","qPCR","S_Guillou","ADN_20_05037","HL004","librairie_143_haplotypes615"
"S_20_01806","DL_4100","G_20_01806","BELUGA","Delphinapterus","leucas",NA,23,NA,"SHS",NA,NA,NA,2002,NA,NA,"Kangiqsujuaq",NA,"F","qPCR","S_Guillou","ADN_20_05038","HL008","librairie_143_haplotypes615"
"S_20_01807","DL_4099","G_20_01807","BELUGA","Delphinapterus","leucas",NA,NA,"M","SHS",NA,NA,NA,2002,NA,NA,"Kangiqsujuaq",NA,"M","qPCR","S_Guillou","ADN_20_05039","HL003","librairie_143_haplotypes615"
"S_20_01808","DL_4070","G_20_01808","BELUGA","Delphinapterus","leucas",NA,18,NA,"SHS",NA,NA,NA,2002,NA,NA,"Kangirsuk",NA,"F","qPCR","S_Guillou","ADN_20_00772","HL001","librairie_143_haplotypes615"
"S_20_01809","DL_4076","G_20_01809","BELUGA","Delphinapterus","leucas",NA,21,"F","SHS","Camp_Imilimmiut","60.771","-69.418",2002,"6",28,"Quaqtaq",NA,"F","qPCR","S_Guillou","ADN_20_05040","HL003","librairie_143_haplotypes615"
"S_20_01810","DL_4079","G_20_01810","BELUGA","Delphinapterus","leucas",NA,5,"F","SHS","Camp_Imilimmiut","60.817","-69.436",2002,"6",28,"Kangirsuk",NA,"F","qPCR","S_Guillou","ADN_20_05041","HL003","librairie_143_haplotypes615"
"S_20_01811","DL_4078","G_20_01811","BELUGA","Delphinapterus","leucas",NA,16,"F","SHS","Camp_Imilimmiut","60.771","-69.418",2002,"6",28,"Kuujjuaq",NA,"F","qPCR","S_Guillou","ADN_20_05042","HL004","librairie_143_haplotypes615"
"S_20_01812","DL2011_185","G_20_01812","BELUGA","Delphinapterus","leucas",NA,13,"F","SHS","Kangirsuapik","61.867","-72.183",2011,"10",25,"Kangiqsujuaq",NA,"M","qPCR","C_Bonnet","ADN_20_03493","HL001","librairie_143_haplotypes615"
"S_20_01813","DL2011_195","G_20_01813","BELUGA","Delphinapterus","leucas",NA,22,"M","SHS","Baie_Kangiararjuk","61.55","-71.666",2011,"11",1,"Kangiqsujuaq",NA,"M","qPCR","S_Guillou","ADN_20_03494","HL055","librairie_143_haplotypes615"
"S_20_01814","DL2011_198","G_20_01814","BELUGA","Delphinapterus","leucas",NA,34,"F","SHS","Pointe_Naujaat","61.006","-69.401",2011,"6",12,"Quaqtaq",NA,"F","qPCR","S_Guillou","ADN_20_03495","HL007","librairie_143_haplotypes615"
"S_20_01815","DL2011_199","G_20_01815","BELUGA","Delphinapterus","leucas",NA,NA,"F","SHS","Falaise_Naujatalik","61.044","-69.572",2011,"6",9,"Quaqtaq",NA,"F","qPCR","C_Bonnet","ADN_20_03535","HL008","librairie_143_haplotypes615"
"S_20_01816","DL2011_200","G_20_01816","BELUGA","Delphinapterus","leucas",NA,28,"M","SHS","Nuvuk","61.078","-69.553",2011,"7",10,"Kangirsuk",NA,"M","qPCR","C_Bonnet","ADN_20_03496","HL001","librairie_143_haplotypes615"
"S_20_01817","DL2011_201","G_20_01817","BELUGA","Delphinapterus","leucas",NA,20,"F","SHS","Island_Guindon","60.715","-69.562",2011,"7",10,"Quaqtaq",NA,"F","qPCR","S_Guillou","ADN_20_03536","HL001","librairie_143_haplotypes615"
"S_20_01818","DL2011_204","G_20_01818","BELUGA","Delphinapterus","leucas",NA,45,"F","SHS","Nuvuk","61.078","-69.553",2011,"6",18,"Quaqtaq",NA,"F","qPCR","S_Guillou","ADN_20_03497","HL043","librairie_143_haplotypes615"
"S_20_01819","DL2011_205","G_20_01819","BELUGA","Delphinapterus","leucas",NA,23,"M","SHS","Pointe_Tuapait","61.008","-69.464",2011,"6",11,"Quaqtaq",NA,"M","qPCR","S_Guillou","ADN_20_03498","HL003","librairie_143_haplotypes615"
"S_20_01820","DL2011_206","G_20_01820","BELUGA","Delphinapterus","leucas",NA,38,"F","SHS","Island_Guindon","60.715","-69.562",2011,"7",10,"Quaqtaq",NA,"M","qPCR","C_Bonnet","ADN_20_03499","HL001","librairie_143_haplotypes615"
"S_20_01821","DL2011_207","G_20_01821","BELUGA","Delphinapterus","leucas",NA,22,"F","SHS","Island_Guindon","60.715","-69.562",2011,"7",10,"Kuujjuaq",NA,"M","qPCR","S_Guillou","ADN_20_03500","HL052","librairie_143_haplotypes615"
"S_20_01822","DL2011_209","G_20_01822","BELUGA","Delphinapterus","leucas",NA,20,"M","SHS","Nuvuk","61.078","-69.553",2011,"6",18,"Quaqtaq",NA,"M","qPCR","S_Guillou","ADN_20_03501","HL003","librairie_143_haplotypes615"
"S_20_01823","DL2011_212","G_20_01823","BELUGA","Delphinapterus","leucas",NA,NA,"F","SHS","Nuvuk","61.078","-69.553",2011,"6",21,"Quaqtaq",NA,"F","qPCR","C_Bonnet","ADN_20_03502","HL003","librairie_143_haplotypes615"
"S_20_01824","DL2011_213","G_20_01824","BELUGA","Delphinapterus","leucas",NA,18,"F","SHS","Nuvuk","61.078","-69.553",2011,"6",9,"Quaqtaq",NA,"M","qPCR","S_Guillou","ADN_20_03503",NA,"librairie_143_haplotypes615"
"S_20_01825","DL2011_215","G_20_01825","BELUGA","Delphinapterus","leucas",NA,14,"F","SHS","Nuvuk","61.078","-69.553",2011,"6",18,"Quaqtaq",NA,"F","qPCR","C_Bonnet","ADN_20_03504","HL001","librairie_143_haplotypes615"
"S_20_01826","DL2011_216","G_20_01826","BELUGA","Delphinapterus","leucas",NA,16,"M","SHS","Nuvuk","61.078","-69.553",2011,"6",9,"Quaqtaq",NA,"F","qPCR","S_Guillou","ADN_20_03505","HL001","librairie_143_haplotypes615"
"S_20_01827","DL2011_218","G_20_01827","BELUGA","Delphinapterus","leucas",NA,21,"F","SHS","Pointe_Tuapait","61.008","-69.464",2011,"6",9,"Quaqtaq",NA,"F","qPCR","C_Bonnet","ADN_20_03506","HL008","librairie_143_haplotypes615"
"S_20_01828","DL2011_220","G_20_01828","BELUGA","Delphinapterus","leucas",NA,11,"F","SHS","Nuvuk","61.078","-69.553",2011,"6",21,"Quaqtaq",NA,"F","qPCR","C_Bonnet","ADN_20_03507","HL001","librairie_143_haplotypes615"
"S_20_01829","DL2011_221","G_20_01829","BELUGA","Delphinapterus","leucas",NA,25,"M","SHS","Nuvuk","61.078","-69.553",2011,"6",9,"Quaqtaq",NA,"M","qPCR","S_Guillou","ADN_20_03508","HL075","librairie_143_haplotypes615"
"S_20_01830","DL2011_233","G_20_01830","BELUGA","Delphinapterus","leucas",NA,7,"M","SHS","Camp_Imilimmiut","60.771","-69.418",2011,"6",13,"Kangirsuk",NA,"M","qPCR","C_Bonnet","ADN_20_03509","HL054","librairie_143_haplotypes615"
"S_20_01831","DL2011_236","G_20_01831","BELUGA","Delphinapterus","leucas",NA,37,"F","SHS","Camp_Imilimmiut","60.771","-69.418",2011,"6",13,"Kangirsuk",NA,"F","qPCR","C_Bonnet","ADN_20_03510","HL008","librairie_143_haplotypes615"
"S_20_01832","DL2011_240","G_20_01832","BELUGA","Delphinapterus","leucas",NA,58,"F","SHS","Camp_Imilimmiut","60.771","-69.418",2011,"6",13,"Kangirsuk",NA,"F","qPCR","S_Guillou","ADN_20_03511","HL008","librairie_143_haplotypes615"
"S_20_01833","DL2011_257","G_20_01833","BELUGA","Delphinapterus","leucas",NA,25,"M","SHS","Camp_Imilimmiut","60.771","-69.418",2011,"6",17,"Tasiujaq",NA,"M","qPCR","S_Guillou","ADN_20_03512","HL001","librairie_143_haplotypes615"
"S_20_01834","DL2011_259","G_20_01834","BELUGA","Delphinapterus","leucas",NA,31,"F","SHS","Camp_Imilimmiut","60.771","-69.418",2011,"6",27,"Tasiujaq",NA,"F","qPCR","S_Guillou","ADN_20_03513","HL043","librairie_143_haplotypes615"
"S_20_01835","DL2011_270","G_20_01835","BELUGA","Delphinapterus","leucas",NA,16,"F","SHS","Island_Guindon","60.715","-69.562",2011,"11",10,"Quaqtaq",NA,"F","qPCR","C_Bonnet","ADN_20_03514","HL001","librairie_143_haplotypes615"
"S_20_01836","DL2011_271","G_20_01836","BELUGA","Delphinapterus","leucas",NA,14,"M","SHS","Island_Guindon","60.715","-69.562",2011,"11",10,"Quaqtaq",NA,"M","qPCR","S_Guillou","ADN_20_03515","HL001","librairie_143_haplotypes615"
"S_20_01837","DL2011_279","G_20_01837","BELUGA","Delphinapterus","leucas",NA,10,"M","SHS","Island_Guindon","60.715","-69.562",2011,"11",10,"Quaqtaq",NA,"M","qPCR","S_Guillou","ADN_20_03516","HL013","librairie_143_haplotypes615"
"S_20_01838","DL2011_280","G_20_01838","BELUGA","Delphinapterus","leucas",NA,18,"M","SHS","Island_Guindon","60.715","-69.562",2011,"11",10,"Quaqtaq",NA,"M","qPCR","S_Guillou","ADN_20_03517","HL001","librairie_143_haplotypes615"
"S_20_01839","DL2011_281","G_20_01839","BELUGA","Delphinapterus","leucas",NA,23,"F","SHS","Island_Guindon","60.715","-69.562",2011,"11",10,"Quaqtaq",NA,"F","qPCR","C_Bonnet","ADN_20_03518","HL001","librairie_143_haplotypes615"
"S_20_01840","DL2011_282","G_20_01840","BELUGA","Delphinapterus","leucas",NA,26,"M","SHS","Island_Guindon","60.715","-69.562",2011,"11",10,"Quaqtaq",NA,"F","qPCR","C_Bonnet","ADN_20_03519","HL003","librairie_143_haplotypes615"
"S_20_01841","DL2011_288","G_20_01841","BELUGA","Delphinapterus","leucas",NA,NA,"F","SHS","Camp_Imilimmiut","60.771","-69.418",2011,"6",17,"Kuujjuaq",NA,"F","qPCR","C_Bonnet","ADN_20_03520","HL043","librairie_143_haplotypes615"
"S_20_01842","DL2011_290","G_20_01842","BELUGA","Delphinapterus","leucas",NA,37,"M","SHS","Island_Guindon","60.715","-69.562",2011,"11",10,"Quaqtaq",NA,"M","qPCR","S_Guillou","ADN_20_03521","HL001","librairie_143_haplotypes615"
"S_20_01843","DL2011_293","G_20_01843","BELUGA","Delphinapterus","leucas",NA,41,"F","UNG","Pakkivik_Island","58.261","-68.269",2011,"7",31,"Kuujjuaq",NA,"M","qPCR","S_Guillou","ADN_20_03523","HL003","librairie_143_haplotypes615"
"S_20_01844","DL12_161","G_20_01844","BELUGA","Delphinapterus","leucas",NA,31,NA,"SHS","Nuvuk","61.077","-69.553",2012,"6",9,"Quaqtaq",NA,"M","qPCR","S_Guillou","ADN_20_03524","HL024","librairie_143_haplotypes615"
"S_20_01845","DL10_266","G_20_01845","BELUGA","Delphinapterus","leucas",NA,NA,"M","SHS","Kangiqsujuaq","61.35","-71.63",2010,"6",22,"Kangiqsualujjuaq",NA,"M","qPCR","S_Guillou","ADN_20_03525","HL022","librairie_143_haplotypes615"
"S_20_01846","DL10_132","G_20_01846","BELUGA","Delphinapterus","leucas",NA,NA,"F","SHS","Havre_dIvujivik",NA,NA,2010,"10",12,"Ivujivik",NA,"F","qPCR","S_Guillou","ADN_20_03526","HL001","librairie_143_haplotypes615"
"S_20_01847","DL_10126","G_20_01847","BELUGA","Delphinapterus","leucas",NA,NA,NA,"SHS","Ivujivik","62.397222","-78.067222",2010,"6",8,"Ivujivik",NA,"F","qPCR","S_Guillou","ADN_20_03527","HL010","librairie_143_haplotypes615"
"S_20_01848","DL_10127","G_20_01848","BELUGA","Delphinapterus","leucas",NA,NA,"M","UNG","Aupaluk","59.504","-69.697",2010,"6",15,"Aupaluk",NA,"M","qPCR","S_Guillou","ADN_20_03528","HL003","librairie_143_haplotypes615"
"S_20_01849","DL10_224","G_20_01849","BELUGA","Delphinapterus","leucas",NA,33,"M","SHS","Pointe_Naujaat","61.044","-69.572",2010,"6",13,"Tasiujaq",NA,"M","qPCR","C_Bonnet","ADN_20_04052","HL008","librairie_143_haplotypes615"
"S_20_01850","DL_8012","G_20_01850","BELUGA","Delphinapterus","leucas",NA,16,"F","SHS","Nuvuk","60.771","-69.418",2006,"6",13,"Quaqtaq",NA,"M","qPCR","S_Guillou","ADN_20_03530",NA,"librairie_143_haplotypes615"
"S_20_01851","DL_8006","G_20_01851","BELUGA","Delphinapterus","leucas",NA,NA,"F","SHS","Nuvuk","60.771","-69.418",2006,"6",13,"Quaqtaq",NA,"M","qPCR","S_Guillou","ADN_20_03531","HL008","librairie_143_haplotypes615"
